Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2020,164924,212800,Boston College,MA,1,,1,NCAA,4470,5083,9553,2,Basketball,17,12,,,17,12,82341,1399799,86606,1039276,2439075,,,,,,5962476,2355742,8318218,,,,5962476,2355742,8318218,7739270,3687363,11426633,,,,7739270,3687363,11426633
2020,217882,342500,Clemson University,SC,1,,1,NCAA,10005,10013,20018,2,Basketball,15,14,,,15,14,43668,655019,40056,560784,1215803,,,,,,6274665,3367879,9642544,,,,6274665,3367879,9642544,6274665,3367879,9642544,,,,6274665,3367879,9642544
2020,198419,292000,Duke University,NC,1,,1,NCAA,3237,3305,6542,2,Basketball,15,14,,,15,14,65485,982278,8439,118148,1100426,,,,,,22513062,3395867,25908929,,,,22513062,3395867,25908929,14492257,5300000,19792257,,,,14492257,5300000,19792257
2020,134097,148900,Florida State University,FL,1,,1,NCAA,12244,16824,29068,2,Basketball,19,13,,,19,13,49934,948744,54894,713622,1662366,,,,,,6727136,3224437,9951573,,,,6727136,3224437,9951573,6727136,3224437,9951573,,,,6727136,3224437,9951573
2020,139755,156900,Georgia Institute of Technology-Main Campus,GA,1,,1,NCAA,8669,5807,14476,2,Basketball,17,19,,,17,19,78265,1330509,56085,1065617,2396126,,,,,,5626946,1464879,7091825,,,,5626946,1464879,7091825,5774159,3767705,9541864,,,,5774159,3767705,9541864
2020,199193,297200,North Carolina State University at Raleigh,NC,1,,1,NCAA,11617,11252,22869,2,Basketball,14,13,,,14,13,78826,1103568,31937,415185,1518753,,,,,,9334862,879224,10214086,,,,9334862,879224,10214086,7579872,3274537,10854409,,,,7579872,3274537,10854409
2020,196413,288200,Syracuse University,NY,1,,1,NCAA,6345,7451,13796,2,Basketball,18,16,,,18,16,70275,1264947,75009,1200148,2465095,,,,,,13963364,2153214,16116578,,,,13963364,2153214,16116578,10064914,4714103,14779017,,,,10064914,4714103,14779017
2020,157289,199900,University of Louisville,KY,1,,1,NCAA,5151,6396,11547,2,Basketball,17,14,,,17,14,97305,1654193,64293,900097,2554290,,,,,,12321810,4688552,17010362,,,,12321810,4688552,17010362,12321810,4688552,17010362,,,,12321810,4688552,17010362
2020,135726,153600,University of Miami,FL,1,,1,NCAA,5032,5704,10736,2,Basketball,14,14,,,14,14,99788,1397034,82213,1150986,2548020,,,,,,7643768,5003061,12646829,,,,7643768,5003061,12646829,7643768,5003061,12646829,,,,7643768,5003061,12646829
2020,199120,297400,University of North Carolina at Chapel Hill,NC,1,,1,NCAA,7365,11129,18494,2,Basketball,17,16,,,17,16,94134,1600286,64752,1036038,2636324,,,,,,13121288,3563126,16684414,,,,13121288,3563126,16684414,8116597,3563126,11679723,,,,8116597,3563126,11679723
2021,164924,212800,Boston College,MA,1,,1,NCAA,4532,5126,9658,2,Basketball,15,14,,,15,14,128277,1924152,83517,1169232,3093384,,,,,,8333993,346423,8680416,,,,8333993,346423,8680416,8674033,4384462,13058495,,,,8674033,4384462,13058495
2021,217882,342500,Clemson University,SC,1,,1,NCAA,10051,10783,20834,2,Basketball,15,14,,,15,14,83522,1252826,58703,821838,2074664,,,,,,8035346,4252101,12287447,,,,8035346,4252101,12287447,8035346,4252101,12287447,,,,8035346,4252101,12287447
2021,198419,292000,Duke University,NC,1,,1,NCAA,3283,3506,6789,2,Basketball,16,13,,,16,13,343838,5501403,82705,1075162,6576565,,,,,,45108538,2643254,47751792,,,,45108538,2643254,47751792,28019888,7037561,35057449,,,,28019888,7037561,35057449
2021,134097,148900,Florida State University,FL,1,,1,NCAA,12662,17403,30065,2,Basketball,20,14,,,20,14,107526,2150515,99388,1391435,3541950,,,,,,16987326,1239869,18227195,,,,16987326,1239869,18227195,11104464,5740051,16844515,,,,11104464,5740051,16844515
2021,139755,156900,Georgia Institute of Technology-Main Campus,GA,1,,1,NCAA,9062,6130,15192,2,Basketball,17,23,,,17,23,138279,2350742,48818,1122809,3473551,,,,,,9258729,4706465,13965194,,,,9258729,4706465,13965194,8210051,4504554,12714605,,,,8210051,4504554,12714605
2021,199193,297200,North Carolina State University at Raleigh,NC,1,,1,NCAA,11656,11629,23285,2,Basketball,14,14,,,14,14,122533,1715460,81085,1135195,2850655,,,,,,15377713,1088407,16466120,,,,15377713,1088407,16466120,10006714,4496325,14503039,,,,10006714,4496325,14503039
2021,196413,288200,Syracuse University,NY,1,,1,NCAA,6345,7727,14072,2,Basketball,17,12,,,17,12,140410,2386977,135250,1622997,4009974,,,,,,34157191,1608302,35765493,,,,34157191,1608302,35765493,14822271,5408539,20230810,,,,14822271,5408539,20230810
2021,157289,199900,University of Louisville,KY,1,,1,NCAA,5128,6252,11380,2,Basketball,18,17,,,18,17,134833,2426999,110644,1880949,4307948,,,,,,21853488,6914744,28768232,,,,21853488,6914744,28768232,21853488,6914744,28768232,,,,21853488,6914744,28768232
2021,135726,153600,University of Miami,FL,1,,1,NCAA,5339,6156,11495,2,Basketball,14,33,,,14,33,146148,2046072,46175,1523777,3569849,,,,,,9978355,6162525,16140880,,,,9978355,6162525,16140880,9936656,6162525,16099181,,,,9936656,6162525,16099181
2021,199120,297400,University of North Carolina at Chapel Hill,NC,1,,1,NCAA,7452,11464,18916,2,Basketball,17,25,,,17,25,344446,5855574,60745,1518634,7374208,,,,,,31965031,1228367,33193398,,,,31965031,1228367,33193398,12445368,4583415,17028783,,,,12445368,4583415,17028783